"Ticker","Sector.SPDR","Sector.Zacks"
"AAPL","XLK","Computer and Technology"
"AXP","XLF","Finance"
"BA","XLI","Aerospace"
"CAT","XLI","Industrial Products"
"CSCO","XLK","Computer and Technology"
"CVX","XLE","Oils-Energy"
"DIS","XLC","Consumer Discretionary"
"DOW","XLB","Basic Materials"
"GS","XLF","Finance"
"HD","XLY","Retail-Wholesale"
"IBM","XLK","Computer and Technology"
"INTC","XLK","Computer and Technology"
"JNJ","XLV","Medical"
"JPM","XLF","Finance"
"KO","XLP","Consumer Staples"
"MCD","XLY","Retail-Wholesale"
"MMM","XLI","Conglomerates"
"MRK","XLV","Medical"
"MSFT","XLK","Computer and Technology"
"NKE","XLY","Consumer Discretionary"
"PFE","XLV","Medical"
"PG","XLP","Consumer Staples"
"TRV","XLF","Finance"
"UNH","XLV","Medical"
"UTX","XLI","Conglomerates"
"V","XLK","Business Services"
"VZ","XLC","Computer and Technology"
"WBA","XLP","Retail-Wholesale"
"WMT","XLP","Retail-Wholesale"
"XOM","XLE","Oils-Energy"
