Date,Price
12/31/2018,231.44 
1/2/2019,231.73 
1/3/2019,226.06 
1/4/2019,233.82 
1/7/2019,235.46 
1/8/2019,237.74 
1/9/2019,238.79 
1/10/2019,239.87 
1/11/2019,239.84 
1/14/2019,238.60 
1/15/2019,241.16 
1/16/2019,241.71 
1/17/2019,243.57 
1/18/2019,246.78 
1/22/2019,243.30 
1/23/2019,243.83 
1/24/2019,244.17 
1/25/2019,246.26 
1/28/2019,244.32 
1/29/2019,243.97 
1/30/2019,247.79 
1/31/2019,249.98 
2/1/2019,250.23 
2/4/2019,251.93 
2/5/2019,253.12 
2/6/2019,252.58 
2/7/2019,250.26 
2/8/2019,250.51 
2/11/2019,250.69 
2/12/2019,253.94 
2/13/2019,254.72 
2/14/2019,254.14 
2/15/2019,256.93 
2/19/2019,257.33 
2/20/2019,257.84 
2/21/2019,256.94 
2/22/2019,258.60 
2/25/2019,258.96 
2/26/2019,258.75 
2/27/2019,258.65 
2/28/2019,258.00 
3/1/2019,259.79 
3/4/2019,258.79 
3/5/2019,258.50 
3/6/2019,256.83 
3/7/2019,254.79 
3/8/2019,254.28 
3/11/2019,258.01 
3/12/2019,258.78 
3/13/2019,260.61 
3/14/2019,260.46 
3/15/2019,261.77 
3/18/2019,262.75 
3/19/2019,262.72 
3/20/2019,260.51 
3/21/2019,263.36 
3/22/2019,258.37 
3/25/2019,258.18 
3/26/2019,260.03 
3/27/2019,258.83 
3/28/2019,259.80 
3/29/2019,261.56 
4/1/2019,264.59 
4/2/2019,264.60 
4/3/2019,265.17 
4/4/2019,265.78 
4/5/2019,267.02 
4/8/2019,267.30 
4/9/2019,265.76 
4/10/2019,266.71 
4/11/2019,266.72 
4/12/2019,268.51 
4/15/2019,268.35 
4/16/2019,268.49 
4/17/2019,267.90 
4/18/2019,268.33 
4/22/2019,268.61 
4/23/2019,271.00 
4/24/2019,270.40 
4/25/2019,270.31 
4/26/2019,271.58 
4/29/2019,271.88 
4/30/2019,272.15 
5/1/2019,270.11 
5/2/2019,269.55 
5/3/2019,272.17 
5/6/2019,270.98 
5/7/2019,266.51 
5/8/2019,266.09 
5/9/2019,265.38 
5/10/2019,266.46 
5/13/2019,260.03 
5/14/2019,262.15 
5/15/2019,263.73 
5/16/2019,266.16 
5/17/2019,264.63 
5/20/2019,262.84 
5/21/2019,265.08 
5/22/2019,264.34 
5/23/2019,261.21 
5/24/2019,261.61 
5/28/2019,259.42 
5/29/2019,257.63 
5/30/2019,258.20 
5/31/2019,254.85 
6/3/2019,254.15 
6/4/2019,259.60 
6/5/2019,261.75 
6/6/2019,263.43 
6/7/2019,266.22 
6/10/2019,267.46 
6/11/2019,267.38 
6/12/2019,266.84 
6/13/2019,268.01 
6/14/2019,267.62 
6/17/2019,267.87 
6/18/2019,270.48 
6/19/2019,271.29 
6/20/2019,273.88 
6/21/2019,273.55 
6/24/2019,273.08 
6/25/2019,270.49 
6/26/2019,268.76 
6/27/2019,269.83 
6/28/2019,271.40 
7/1/2019,273.48 
7/2/2019,274.29 
7/3/2019,276.46 
7/5/2019,275.99 
7/8/2019,274.66 
7/9/2019,275.08 
7/10/2019,276.33 
7/11/2019,276.96 
7/12/2019,278.26 
7/15/2019,278.31 
7/16/2019,277.37 
7/17/2019,275.56 
7/18/2019,276.58 
7/19/2019,274.88 
7/22/2019,275.66 
7/23/2019,277.55 
7/24/2019,278.86 
7/25/2019,277.40 
7/26/2019,279.45 
7/29/2019,279.00 
7/30/2019,278.31 
7/31/2019,275.28 
8/1/2019,272.84 
8/2/2019,270.87 
8/5/2019,262.81 
8/6/2019,266.26 
8/7/2019,266.47 
8/8/2019,271.55 
8/9/2019,269.80 
8/12/2019,266.62 
8/13/2019,270.56 
8/14/2019,262.71 
8/15/2019,263.41 
8/16/2019,267.26 
8/19/2019,270.51 
8/20/2019,268.39 
8/21/2019,270.62 
8/22/2019,270.48 
8/23/2019,263.47 
8/26/2019,266.39 
8/27/2019,265.54 
8/28/2019,267.28 
8/29/2019,270.72 
8/30/2019,270.93 
9/3/2019,269.08 
9/4/2019,272.02 
9/5/2019,275.62 
9/6/2019,275.88 
9/9/2019,275.88 
9/10/2019,275.97 
9/11/2019,277.98 
9/12/2019,278.83 
9/13/2019,278.70 
9/16/2019,277.84 
9/17/2019,278.55 
9/18/2019,278.65 
9/19/2019,278.67 
9/20/2019,277.32 
9/23/2019,277.30 
9/24/2019,274.98 
9/25/2019,275.37 
9/26/2019,274.72 
9/27/2019,273.30 
9/30/2019,274.69 
10/1/2019,271.33 
10/2/2019,266.48 
10/3/2019,268.67 
10/4/2019,272.49 
10/7/2019,271.27 
10/8/2019,267.05 
10/9/2019,269.57 
10/10/2019,271.30 
10/11/2019,274.30 
10/14/2019,273.92 
10/15/2019,276.65 
10/16/2019,276.11 
10/17/2019,276.89 
10/18/2019,275.82 
10/21/2019,277.72 
10/22/2019,276.74 
10/23/2019,277.53 
10/24/2019,278.07 
10/25/2019,279.20 
10/28/2019,280.76 
10/29/2019,280.67 
10/30/2019,281.47 
10/31/2019,280.63 
11/1/2019,283.37 
11/4/2019,284.42 
11/5/2019,284.08 
11/6/2019,284.30 
11/7/2019,285.21 
11/8/2019,286.00 
11/11/2019,285.43 
11/12/2019,285.90 
11/13/2019,286.11 
11/14/2019,286.42 
11/15/2019,288.67 
11/18/2019,288.82 
11/19/2019,288.67 
11/20/2019,287.64 
11/21/2019,287.21 
11/22/2019,287.83 
11/25/2019,290.03 
11/26/2019,290.67 
11/27/2019,291.92 
11/29/2019,290.82 
12/2/2019,288.31 
12/3/2019,286.41 
12/4/2019,288.25 
12/5/2019,288.76 
12/6/2019,291.41 
12/9/2019,290.52 
12/10/2019,290.21 
12/11/2019,291.05 
12/12/2019,293.59 
12/13/2019,293.66 
12/16/2019,295.77 
12/17/2019,295.87 
12/18/2019,295.77 
12/19/2019,297.11 
12/20/2019,297.16 
12/23/2019,297.41 
12/24/2019,297.38 
12/26/2019,298.93 
12/27/2019,298.94 
12/30/2019,297.25 
12/31/2019,298.14
